timestamp,junction,vehicle_count,queue_length,average_speed,average_waiting,congestion_level
166.0,J3,12,7,4.17,10.5,HIGH
166.0,J4,10,6,4.33,14.5,HIGH
171.0,J1,9,5,3.97,11.67,HIGH
171.0,J2,17,10,3.84,13.76,CRITICAL
171.0,J3,12,7,3.94,13.33,HIGH
171.0,J4,11,7,3.61,16.0,CRITICAL
176.0,J1,11,6,4.25,12.18,HIGH
176.0,J2,18,12,3.56,16.06,CRITICAL
176.0,J3,10,9,0.24,19.9,CRITICAL
176.0,J4,10,7,3.91,21.1,CRITICAL
181.0,J1,9,5,5.67,5.78,HIGH
181.0,J2,14,9,3.65,10.21,HIGH
181.0,J3,9,5,5.09,5.67,HIGH
181.0,J4,7,3,4.47,7.29,HIGH
186.0,J1,11,2,7.97,0.27,MODERATE
186.0,J2,16,2,6.41,0.31,HIGH
186.0,J3,12,1,9.11,0.08,MODERATE
186.0,J4,10,2,9.22,0.4,MODERATE
191.0,J1,10,2,8.43,1.3,MODERATE
191.0,J2,17,3,9.81,1.12,MODERATE
191.0,J3,15,2,10.77,0.73,LOW
191.0,J4,14,2,10.44,1.0,LOW
196.0,J1,13,3,9.13,2.15,MODERATE
196.0,J2,16,3,9.18,2.12,MODERATE
196.0,J3,12,3,9.03,1.92,MODERATE
196.0,J4,16,2,9.83,1.5,MODERATE
201.0,J1,12,4,7.62,3.83,MODERATE
201.0,J2,13,4,8.17,4.15,MODERATE
201.0,J3,14,3,9.4,2.71,MODERATE
201.0,J4,17,3,9.69,2.18,MODERATE
206.0,J1,10,4,5.92,6.6,HIGH
206.0,J2,10,4,7.44,7.4,MODERATE
206.0,J3,10,4,7.51,5.4,MODERATE
206.0,J4,14,3,9.13,3.71,MODERATE
211.0,J1,11,7,4.13,8.45,HIGH
211.0,J2,10,5,6.11,9.6,HIGH
211.0,J3,10,4,5.63,7.4,HIGH
211.0,J4,10,3,8.5,6.7,MODERATE
216.0,J1,11,7,4.38,11.36,HIGH
216.0,J2,9,5,4.75,13.44,HIGH
216.0,J3,9,5,5.87,10.89,HIGH
216.0,J4,7,4,5.59,12.0,HIGH
221.0,J1,13,7,3.94,12.31,HIGH
221.0,J2,10,6,4.22,15.0,HIGH
221.0,J3,11,6,5.24,11.36,HIGH
221.0,J4,9,4,6.49,11.56,HIGH
226.0,J1,12,5,2.98,6.83,HIGH
226.0,J2,8,2,6.17,3.25,HIGH
226.0,J3,8,3,2.83,5.25,HIGH
226.0,J4,5,1,3.57,2.4,HIGH
231.0,J1,12,2,5.47,0.67,HIGH
231.0,J2,11,3,6.9,1.09,HIGH
231.0,J3,11,2,7.21,0.45,MODERATE
231.0,J4,9,3,8.35,1.56,MODERATE
236.0,J1,15,2,8.74,1.2,MODERATE
236.0,J2,19,4,9.25,1.58,MODERATE
236.0,J3,12,3,9.3,1.67,MODERATE
236.0,J4,13,3,9.36,2.23,MODERATE
241.0,J1,17,3,9.69,1.88,MODERATE
241.0,J2,18,5,8.4,2.83,MODERATE
241.0,J3,13,4,7.64,2.77,MODERATE
241.0,J4,11,5,6.7,4.27,HIGH
246.0,J1,12,5,6.97,4.17,HIGH
246.0,J2,18,6,7.27,4.33,HIGH
246.0,J3,10,4,7.11,5.6,MODERATE
246.0,J4,13,4,8.36,5.15,MODERATE
251.0,J1,10,5,6.06,7.1,HIGH
251.0,J2,18,7,6.55,6.17,HIGH
251.0,J3,10,5,4.78,7.8,HIGH
251.0,J4,8,4,5.31,10.88,HIGH
256.0,J1,10,5,4.21,9.6,HIGH
256.0,J2,14,9,3.14,10.93,HIGH
256.0,J3,8,6,2.92,13.38,HIGH
256.0,J4,8,5,3.77,13.75,HIGH
261.0,J1,10,6,3.91,12.4,HIGH
261.0,J2,16,10,3.95,12.62,CRITICAL
261.0,J3,11,8,2.8,12.64,HIGH
261.0,J4,9,5,5.72,15.0,HIGH
266.0,J1,12,7,5.13,12.92,HIGH
266.0,J2,15,11,2.14,16.93,CRITICAL
266.0,J3,12,7,4.8,14.5,HIGH
266.0,J4,10,6,3.94,16.2,CRITICAL
271.0,J1,11,5,4.98,6.36,HIGH
271.0,J2,14,8,3.43,10.07,HIGH
271.0,J3,10,5,3.71,8.6,HIGH
271.0,J4,6,2,7.9,4.17,MODERATE
276.0,J1,9,2,6.7,0.67,HIGH
276.0,J2,17,2,4.87,0.29,HIGH
276.0,J3,14,2,7.71,0.14,MODERATE
276.0,J4,9,1,9.7,0.11,MODERATE
281.0,J1,12,4,7.47,1.75,MODERATE
281.0,J2,19,4,8.01,1.11,MODERATE
281.0,J3,21,4,8.9,0.71,MODERATE
281.0,J4,15,2,10.87,0.6,LOW
286.0,J1,13,4,7.14,3.15,MODERATE
286.0,J2,18,4,9.65,2.28,MODERATE
286.0,J3,17,4,8.79,1.94,MODERATE
286.0,J4,14,3,9.87,1.43,MODERATE
291.0,J1,15,5,7.02,4.2,MODERATE
291.0,J2,14,4,7.14,4.36,MODERATE
291.0,J3,14,4,7.98,3.79,MODERATE
291.0,J4,15,3,9.35,2.33,MODERATE
296.0,J1,15,6,5.64,6.0,HIGH
296.0,J2,10,5,6.35,8.5,HIGH
296.0,J3,12,5,6.01,6.5,HIGH
296.0,J4,10,3,8.63,5.0,MODERATE
301.0,J1,14,7,5.23,8.64,HIGH
301.0,J2,12,5,5.39,9.17,HIGH
301.0,J3,12,6,5.74,8.83,HIGH
301.0,J4,12,3,8.11,5.42,MODERATE
306.0,J1,12,8,3.11,13.17,HIGH
306.0,J2,12,6,6.12,11.67,HIGH
306.0,J3,13,6,5.74,10.46,HIGH
306.0,J4,9,4,6.33,9.33,HIGH
311.0,J1,13,10,2.55,15.69,CRITICAL
311.0,J2,14,6,5.52,12.14,HIGH
311.0,J3,11,7,4.35,15.36,HIGH
311.0,J4,10,4,7.82,10.4,HIGH
316.0,J1,10,6,3.51,9.3,HIGH
316.0,J2,9,2,7.05,2.22,MODERATE
316.0,J3,10,3,5.8,5.1,HIGH
316.0,J4,7,0,7.59,0.0,MODERATE
321.0,J1,13,0,5.44,0.0,HIGH
321.0,J2,15,4,6.99,0.8,HIGH
321.0,J3,14,3,6.41,0.43,HIGH
321.0,J4,11,3,6.54,0.91,HIGH
326.0,J1,13,2,8.37,0.77,MODERATE
326.0,J2,19,7,7.87,2.0,HIGH
326.0,J3,16,4,8.62,1.56,MODERATE
326.0,J4,15,5,7.73,2.27,MODERATE
331.0,J1,16,3,9.88,1.5,MODERATE
331.0,J2,20,6,7.38,3.4,HIGH
331.0,J3,15,6,6.71,3.13,HIGH
331.0,J4,13,5,7.01,4.54,MODERATE
336.0,J1,11,3,7.2,3.55,MODERATE
336.0,J2,19,7,6.51,5.37,HIGH
336.0,J3,10,6,4.8,7.5,HIGH
336.0,J4,14,6,6.55,6.14,HIGH
341.0,J1,10,4,6.39,5.8,HIGH
341.0,J2,20,9,5.9,7.1,HIGH
341.0,J3,13,7,4.15,8.08,HIGH
341.0,J4,12,6,5.48,9.67,HIGH
346.0,J1,8,5,5.01,10.0,HIGH
346.0,J2,17,9,4.23,11.0,HIGH
346.0,J3,11,7,4.33,12.55,HIGH
346.0,J4,8,6,2.31,18.25,CRITICAL
351.0,J1,10,5,4.54,10.5,HIGH
351.0,J2,18,10,4.22,13.17,HIGH
351.0,J3,13,7,3.51,13.31,HIGH
351.0,J4,11,7,3.77,16.18,CRITICAL
356.0,J1,10,6,3.48,13.5,HIGH
356.0,J2,18,12,3.54,16.17,CRITICAL
356.0,J3,13,9,3.74,16.77,CRITICAL
356.0,J4,11,7,4.7,19.36,HIGH
361.0,J1,10,4,6.07,5.4,HIGH
361.0,J2,13,9,3.55,11.08,HIGH
361.0,J3,10,5,2.64,6.6,HIGH
361.0,J4,8,4,4.29,6.62,HIGH
366.0,J1,12,1,8.11,0.17,MODERATE
366.0,J2,16,0,7.09,0.0,MODERATE
366.0,J3,14,3,7.1,0.64,MODERATE
366.0,J4,9,2,8.59,0.78,MODERATE
371.0,J1,13,2,8.68,0.92,MODERATE
371.0,J2,17,2,9.71,0.41,MODERATE
371.0,J3,18,3,9.24,1.33,MODERATE
371.0,J4,17,3,9.96,1.06,MODERATE
376.0,J1,13,4,7.59,2.38,MODERATE
376.0,J2,17,3,10.02,1.29,MODERATE
376.0,J3,15,4,9.31,2.93,MODERATE
376.0,J4,17,4,9.16,1.94,MODERATE
381.0,J1,15,5,7.65,3.6,MODERATE
381.0,J2,11,3,7.92,3.36,MODERATE
381.0,J3,15,5,8.21,4.4,MODERATE
381.0,J4,14,3,9.1,3.43,MODERATE
386.0,J1,12,6,5.28,6.67,HIGH
386.0,J2,9,4,6.61,6.22,HIGH
386.0,J3,13,5,6.68,7.0,HIGH
386.0,J4,14,3,9.25,4.5,MODERATE
391.0,J1,12,8,3.87,9.33,HIGH
391.0,J2,8,4,5.78,9.5,HIGH
391.0,J3,10,6,5.2,11.8,HIGH
391.0,J4,9,4,5.52,9.0,HIGH
396.0,J1,11,7,3.13,13.36,HIGH
396.0,J2,10,5,6.1,10.0,HIGH
396.0,J3,12,7,4.7,12.42,HIGH
396.0,J4,9,4,7.18,11.22,HIGH
401.0,J1,14,9,4.02,13.43,HIGH
401.0,J2,10,5,5.84,12.5,HIGH
401.0,J3,13,8,4.59,14.15,HIGH
401.0,J4,9,4,5.74,13.44,HIGH
406.0,J1,12,6,3.75,9.67,HIGH
406.0,J2,7,2,6.31,2.29,HIGH
406.0,J3,9,4,5.66,6.33,HIGH
406.0,J4,5,1,4.79,1.0,HIGH
411.0,J1,13,2,5.26,0.46,HIGH
411.0,J2,10,2,7.88,0.7,MODERATE
411.0,J3,13,2,6.32,0.15,HIGH
411.0,J4,9,2,8.63,0.78,MODERATE
416.0,J1,14,3,7.88,1.29,MODERATE
416.0,J2,15,3,9.06,1.47,MODERATE
416.0,J3,14,4,7.8,1.5,MODERATE
416.0,J4,12,2,9.26,1.42,MODERATE
421.0,J1,17,3,8.89,1.94,MODERATE
421.0,J2,16,4,8.24,2.44,MODERATE
421.0,J3,13,4,8.2,3.15,MODERATE
421.0,J4,12,4,7.68,2.58,MODERATE
426.0,J1,13,5,7.27,4.0,MODERATE
426.0,J2,18,5,8.05,3.39,MODERATE
426.0,J3,10,5,5.43,6.3,HIGH
426.0,J4,12,3,8.19,3.83,MODERATE
431.0,J1,10,5,5.6,7.4,HIGH
431.0,J2,16,7,5.82,5.56,HIGH
431.0,J3,11,5,5.39,8.0,HIGH
431.0,J4,8,3,6.8,7.62,HIGH
436.0,J1,10,5,4.16,9.9,HIGH
436.0,J2,15,8,4.22,8.47,HIGH
436.0,J3,11,7,3.74,10.82,HIGH
436.0,J4,8,4,5.63,9.88,HIGH
441.0,J1,12,7,4.46,10.75,HIGH
441.0,J2,14,9,3.15,12.14,HIGH
441.0,J3,12,7,4.5,12.83,HIGH
441.0,J4,7,4,4.99,14.14,HIGH
446.0,J1,12,7,4.59,13.5,HIGH
446.0,J2,17,9,4.53,12.65,HIGH
446.0,J3,13,8,3.96,14.69,HIGH
446.0,J4,9,5,4.06,13.56,HIGH
451.0,J1,11,4,4.52,6.73,HIGH
451.0,J2,16,8,2.95,8.69,HIGH
451.0,J3,10,4,6.09,7.0,HIGH
451.0,J4,6,2,7.76,4.33,MODERATE
456.0,J1,12,4,6.4,0.83,HIGH
456.0,J2,18,5,4.65,0.83,HIGH
456.0,J3,13,1,8.05,0.15,MODERATE
456.0,J4,8,1,8.05,0.25,MODERATE
461.0,J1,14,5,7.99,1.93,MODERATE
461.0,J2,20,5,7.64,1.75,MODERATE
461.0,J3,18,3,10.41,0.67,MODERATE
461.0,J4,13,3,9.7,1.0,MODERATE
466.0,J1,15,5,7.29,3.47,MODERATE
466.0,J2,22,6,8.55,2.86,HIGH
466.0,J3,17,3,8.98,1.59,MODERATE
466.0,J4,17,3,10.12,1.65,MODERATE
471.0,J1,16,6,6.91,5.06,HIGH
471.0,J2,16,6,7.71,5.81,HIGH
471.0,J3,12,4,8.05,3.75,MODERATE
471.0,J4,15,4,8.9,2.93,MODERATE
476.0,J1,13,7,5.18,8.62,HIGH
476.0,J2,12,7,4.47,10.33,HIGH
476.0,J3,10,4,5.71,6.5,HIGH
476.0,J4,12,4,7.59,5.33,MODERATE
481.0,J1,14,9,4.55,10.57,HIGH
481.0,J2,13,7,5.4,12.23,HIGH
481.0,J3,11,6,5.75,8.09,HIGH
481.0,J4,13,4,8.49,6.46,MODERATE
486.0,J1,13,9,3.9,14.54,HIGH
486.0,J2,14,8,4.05,13.93,HIGH
486.0,J3,12,6,6.23,9.67,HIGH
486.0,J4,8,4,5.87,13.0,HIGH
491.0,J1,13,9,2.67,18.0,CRITICAL
491.0,J2,14,8,5.2,16.79,HIGH
491.0,J3,12,6,4.94,12.17,HIGH
491.0,J4,9,6,4.07,14.0,HIGH
496.0,J1,12,6,3.99,9.75,HIGH
496.0,J2,12,3,5.1,5.67,HIGH
496.0,J3,9,3,7.82,3.78,MODERATE
496.0,J4,8,1,8.65,0.88,MODERATE
501.0,J1,10,2,7.25,0.2,MODERATE
501.0,J2,13,3,6.7,0.62,HIGH
501.0,J3,11,2,7.75,0.36,MODERATE
501.0,J4,11,2,7.1,0.45,MODERATE
506.0,J1,14,2,9.2,0.86,MODERATE
506.0,J2,22,6,8.33,1.27,HIGH
506.0,J3,14,5,8.0,1.5,MODERATE
506.0,J4,15,4,8.43,1.33,MODERATE
511.0,J1,14,3,10.05,1.86,MODERATE
511.0,J2,21,6,7.38,2.71,HIGH
511.0,J3,12,5,7.22,3.5,MODERATE
511.0,J4,13,5,7.46,3.38,MODERATE
516.0,J1,10,3,7.38,4.1,MODERATE
516.0,J2,21,7,7.64,4.29,HIGH
516.0,J3,11,6,4.94,6.09,HIGH
516.0,J4,12,6,6.03,5.83,HIGH
521.0,J1,9,4,4.79,6.67,HIGH
521.0,J2,17,9,5.27,7.47,HIGH
521.0,J3,11,6,4.62,8.64,HIGH
521.0,J4,11,6,5.26,9.09,HIGH
526.0,J1,9,5,5.62,9.11,HIGH
526.0,J2,17,11,4.32,10.18,HIGH
526.0,J3,12,7,4.3,10.42,HIGH
526.0,J4,10,6,4.15,13.0,HIGH
531.0,J1,10,5,5.08,10.7,HIGH
531.0,J2,18,10,4.24,12.39,HIGH
531.0,J3,12,7,3.77,13.25,HIGH
531.0,J4,12,7,4.29,13.67,HIGH
536.0,J1,11,6,3.95,12.45,HIGH
536.0,J2,18,11,3.36,15.39,CRITICAL
536.0,J3,12,9,2.12,16.58,CRITICAL
536.0,J4,11,7,4.31,18.09,HIGH
541.0,J1,9,5,5.4,6.11,HIGH
541.0,J2,15,7,3.63,8.87,HIGH
541.0,J3,10,5,5.19,5.2,HIGH
541.0,J4,8,4,2.51,6.12,HIGH
546.0,J1,9,1,8.15,0.22,MODERATE
546.0,J2,15,1,6.11,0.27,HIGH
546.0,J3,12,2,7.61,0.58,MODERATE
546.0,J4,9,3,7.34,1.11,MODERATE
551.0,J1,12,3,8.83,1.08,MODERATE
551.0,J2,17,3,10.02,1.12,MODERATE
551.0,J3,17,3,10.14,1.24,MODERATE
551.0,J4,16,3,9.71,1.56,MODERATE
556.0,J1,13,3,8.63,2.15,MODERATE
556.0,J2,16,3,9.31,2.12,MODERATE
556.0,J3,15,4,8.71,2.47,MODERATE
556.0,J4,19,3,10.15,2.11,MODERATE
561.0,J1,14,4,8.47,3.36,MODERATE
561.0,J2,11,4,7.22,4.73,MODERATE
561.0,J3,16,5,8.49,3.56,MODERATE
561.0,J4,13,4,8.68,4.38,MODERATE
566.0,J1,10,5,5.56,6.8,HIGH
566.0,J2,9,4,6.81,8.0,HIGH
566.0,J3,12,5,7.01,6.58,MODERATE
566.0,J4,14,4,8.52,5.5,MODERATE
571.0,J1,9,7,2.22,10.44,HIGH
571.0,J2,9,5,5.23,10.56,HIGH
571.0,J3,11,5,5.36,9.45,HIGH
571.0,J4,10,4,7.35,9.7,MODERATE
576.0,J1,11,6,4.32,11.27,HIGH
576.0,J2,9,5,4.93,13.33,HIGH
576.0,J3,10,6,4.95,13.4,HIGH
576.0,J4,8,5,4.84,14.88,HIGH
581.0,J1,14,7,4.54,11.36,HIGH
581.0,J2,11,6,5.35,13.45,HIGH
581.0,J3,12,7,5.03,13.83,HIGH
581.0,J4,10,5,5.98,14.4,HIGH
586.0,J1,12,5,3.92,6.75,HIGH
586.0,J2,7,2,6.76,3.71,HIGH
586.0,J3,8,3,3.29,5.5,HIGH
586.0,J4,5,2,6.08,2.6,HIGH
591.0,J1,14,2,5.86,0.57,HIGH
591.0,J2,12,2,7.53,0.5,MODERATE
591.0,J3,10,3,7.29,1.0,MODERATE
591.0,J4,9,2,9.48,0.78,MODERATE
596.0,J1,14,3,8.52,1.36,MODERATE
596.0,J2,16,3,9.64,1.19,MODERATE
596.0,J3,12,3,9.46,2.08,MODERATE
596.0,J4,12,2,10.01,1.42,LOW
601.0,J1,16,3,8.85,2.12,MODERATE
601.0,J2,18,4,8.87,2.0,MODERATE
601.0,J3,13,4,7.68,3.15,MODERATE
601.0,J4,12,4,8.59,2.42,MODERATE
606.0,J1,13,5,7.54,4.0,MODERATE
606.0,J2,17,5,7.67,3.35,MODERATE
606.0,J3,10,4,7.11,6.1,MODERATE
606.0,J4,10,3,8.73,4.4,MODERATE
611.0,J1,9,4,5.42,8.0,HIGH
611.0,J2,16,7,5.9,5.44,HIGH
611.0,J3,10,6,4.5,8.3,HIGH
611.0,J4,7,3,5.88,8.43,HIGH
616.0,J1,10,5,5.05,9.7,HIGH
616.0,J2,14,8,3.77,9.0,HIGH
616.0,J3,9,6,3.4,12.56,HIGH
616.0,J4,7,4,4.25,11.14,HIGH
621.0,J1,11,7,3.91,11.55,HIGH
621.0,J2,16,9,4.86,10.62,HIGH
621.0,J3,11,7,2.67,13.36,HIGH
621.0,J4,8,4,6.06,12.25,HIGH
626.0,J1,11,7,4.44,14.73,HIGH
626.0,J2,14,10,2.95,15.57,CRITICAL
626.0,J3,12,7,5.06,15.17,HIGH
626.0,J4,9,4,4.36,13.11,HIGH
631.0,J1,9,4,4.9,8.11,HIGH
631.0,J2,14,8,4.16,10.5,HIGH
631.0,J3,9,4,3.11,9.67,HIGH
631.0,J4,6,3,5.91,4.17,HIGH
636.0,J1,9,1,6.65,0.33,HIGH
636.0,J2,16,0,5.39,0.0,HIGH
636.0,J3,13,2,8.41,0.38,MODERATE
636.0,J4,9,2,9.16,1.0,MODERATE
641.0,J1,12,3,9.09,1.17,MODERATE
641.0,J2,17,3,8.5,0.71,MODERATE
641.0,J3,20,3,10.19,0.75,MODERATE
641.0,J4,13,2,10.28,1.46,LOW
646.0,J1,15,3,9.66,1.93,MODERATE
646.0,J2,19,3,9.61,1.42,MODERATE
646.0,J3,15,3,9.84,1.93,MODERATE
646.0,J4,16,3,9.67,1.94,MODERATE
651.0,J1,13,4,7.84,3.54,MODERATE
651.0,J2,15,4,7.91,3.0,MODERATE
651.0,J3,15,3,9.0,2.93,MODERATE
651.0,J4,15,3,9.03,3.07,MODERATE
656.0,J1,11,5,4.72,6.18,HIGH
656.0,J2,9,4,7.03,7.22,MODERATE
656.0,J3,7,4,5.29,9.14,HIGH
656.0,J4,12,3,8.63,5.08,MODERATE
661.0,J1,13,6,5.41,7.23,HIGH
661.0,J2,10,4,5.14,8.5,HIGH
661.0,J3,10,5,5.81,8.6,HIGH
661.0,J4,12,3,8.11,6.33,MODERATE
666.0,J1,12,7,4.29,10.58,HIGH
666.0,J2,10,5,6.2,10.9,HIGH
666.0,J3,11,5,5.43,10.09,HIGH
666.0,J4,8,4,5.26,12.0,HIGH
671.0,J1,13,9,3.75,12.92,HIGH
671.0,J2,12,5,5.4,11.17,HIGH
671.0,J3,12,6,6.53,11.58,HIGH
671.0,J4,9,4,7.22,12.89,HIGH
676.0,J1,10,6,3.36,9.4,HIGH
676.0,J2,9,2,6.88,2.11,HIGH
676.0,J3,10,3,5.19,5.0,HIGH
676.0,J4,8,2,6.87,2.0,HIGH
681.0,J1,12,1,6.01,0.17,HIGH
681.0,J2,14,4,6.25,0.79,HIGH
681.0,J3,14,3,6.92,0.5,HIGH
681.0,J4,12,3,6.52,0.83,HIGH
686.0,J1,14,2,8.89,0.86,MODERATE
686.0,J2,19,6,8.34,1.89,HIGH
686.0,J3,16,4,9.23,1.69,MODERATE
686.0,J4,17,5,8.19,1.82,MODERATE
691.0,J1,16,3,10.24,1.56,MODERATE
691.0,J2,20,7,7.23,3.3,HIGH
691.0,J3,14,6,6.13,3.43,HIGH
691.0,J4,13,5,7.71,4.31,MODERATE
696.0,J1,10,3,7.74,4.0,MODERATE
696.0,J2,20,8,6.8,5.0,HIGH
696.0,J3,11,6,5.27,7.0,HIGH
696.0,J4,12,5,6.55,6.75,HIGH
701.0,J1,9,4,5.07,6.56,HIGH
701.0,J2,19,8,5.86,7.32,HIGH
701.0,J3,13,7,4.57,8.23,HIGH
701.0,J4,10,6,4.53,10.9,HIGH
706.0,J1,8,5,4.56,10.25,HIGH
706.0,J2,16,9,3.91,11.5,HIGH
706.0,J3,12,7,5.23,11.67,HIGH
706.0,J4,11,6,5.33,12.64,HIGH
711.0,J1,9,5,3.76,11.89,HIGH
711.0,J2,16,10,3.32,14.62,CRITICAL
